testName,cluster,baseline
02ba_sortlocal-algo('quicksort'),thor,15.183000
02ba_sortlocal-algo('taskquicksort'),roxie,11.891500
02ba_sortlocal-algo('taskquicksort'),thor,15.071500
02ba_sortlocal-algo('tbbstableqsort'),roxie,26.310500
02ba_sortlocal-algo('tbbstableqsort'),thor,15.228000
02bb_sort,roxie,27.079000
02bb_sort,thor,22.361000
02bc_groupsort-groupsize(0x100000),roxie,16.460500
02bc_groupsort-groupsize(0x100000),thor,11.358000
02bc_groupsort-groupsize(1),roxie,12.074000
02bc_groupsort-groupsize(1),thor,28.070500
02bc_groupsort-groupsize(1024),roxie,7.689000
02bc_groupsort-groupsize(1024),thor,8.022000
02bc_groupsort-groupsize(16),roxie,7.457500
02bc_groupsort-groupsize(16),thor,10.641500
02bc_groupsort-groupsize(2),roxie,10.221000
02bc_groupsort-groupsize(2),thor,20.719000
02bc_groupsort-groupsize(4),roxie,8.664000
02bc_groupsort-groupsize(4),thor,14.993000
02bc_groupsort-groupsize(64),roxie,7.090000
02bc_groupsort-groupsize(64),thor,8.155500
02bc_groupsort-groupsize(65536),roxie,10.432500
02bc_groupsort-groupsize(65536),thor,8.254500
02bc_groupsort-groupsize(8),roxie,7.962500
02bc_groupsort-groupsize(8),thor,12.551000
02bd_dup1sortlocal,roxie,30.809500
02bd_dup1sortlocal,thor,16.114000
02be_dup2sortlocal,roxie,29.625000
02be_dup2sortlocal,thor,14.972000
02bf_dup1sort,roxie,31.218500
02bf_dup1sort,thor,21.778000
02bg_dup2sort,roxie,29.571000
02bg_dup2sort,thor,19.909500
02bh_dup3sort,roxie,67.533500
02bh_dup3sort,thor,52.175000
02bi_sortlocalorder-algo('parmergesort'),roxie,4.991000
02bi_sortlocalorder-algo('parmergesort'),thor,5.953000
02bi_sortlocalorder-algo('parquicksort'),roxie,5.566500
02bi_sortlocalorder-algo('parquicksort'),thor,5.865000
02bi_sortlocalorder-algo('tbbstableqsort'),roxie,7.631500
02bi_sortlocalorder-algo('tbbstableqsort'),thor,5.940000
02bj_sortlocalreverse-algo('parmergesort'),roxie,5.041500
02bj_sortlocalreverse-algo('parmergesort'),thor,5.863500
02bj_sortlocalreverse-algo('parquicksort'),roxie,5.629500
02bj_sortlocalreverse-algo('parquicksort'),thor,5.892500
02bj_sortlocalreverse-algo('tbbstableqsort'),roxie,7.780000
02bj_sortlocalreverse-algo('tbbstableqsort'),thor,5.979000
02bk_sortfilterhalf,roxie,13.491000
02bk_sortfilterhalf,thor,9.037500
02bl_sortvariable,roxie,11.752000
02bl_sortvariable,thor,37.212000
02bm_sortlarge,roxie,15.615500
02bm_sortlarge,thor,45.098500
02ca_multisort4local,roxie,33.294500
02ca_multisort4local,thor,16.906000
02cb_multisort16local,roxie,30.014500
02cb_multisort16local,thor,14.217500
02cc_multisort4,roxie,33.354500
02cc_multisort4,thor,16.060000
02cd_multisort16,roxie,30.329500
