testName,cluster,baseline
01aa_createfixed32-timeactivities(false),thor,2.388864
01aa_createfixed32-timeactivities(true),thor,2.884273
01ab_createunorderedappend,thor,5.136182
01ac_createorderappend,thor,3.243227
01ad_createmanycount,thor,27.543636
01ae_createswitchcount,thor,24.312273
01af_parallelmanycount,thor,3.541045
01ag_unorderedappend2,thor,6.790636
01ah_unorderedappend4,thor,6.530045
01ai_unorderedappend8,thor,5.603091
01aj_unorderedappend12,thor,5.267318
01ak_unorderedappend16,thor,5.102500
01al_unorderedappend32,thor,4.956318
01ba_writefixed32,thor,3.915636
01bb_writefixed32c,thor,4.874318
01bc_writepadded32,thor,30.909136
01bd_writepadded32c,thor,10.399773
01be_writefixedcsv,thor,16.664364
01bf_writefixedxml,thor,42.737636
01bg_writevariable,thor,6.588545
01bh_writelarge,thor,17.752500
01ca_countsimple-checkcrc(false)-hintheapflags(0x00)-timeactivities(false),thor,2.778091
01ca_countsimple-checkcrc(false)-hintheapflags(0x00)-timeactivities(true),thor,3.296409
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-optremoteread(true)-timeactivities(true),thor,5.484227
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-timeactivities(false),thor,2.442636
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-timeactivities(true),thor,3.031636
01ca_countsimple-checkcrc(true)-hintheapflags(0x00)-timeactivities(false),thor,3.375455
01ca_countsimple-checkcrc(true)-hintheapflags(0x00)-timeactivities(true),thor,3.838409
01ca_countsimple-checkcrc(true)-hintheapflags(0x80)-timeactivities(false),thor,17.837818
01ca_countsimple-checkcrc(true)-hintheapflags(0x80)-timeactivities(true),thor,3.607636
01cb_countsimplec,thor,6.567500
01cc_countpadded,thor,40.991591
01cd_countpaddedc,thor,15.805318
01ce_countsimplecsv,thor,16.412182
01cf_countsimplexml,thor,133.941000
01cg_countvariable,thor,6.745091
01ch_countlarge,thor,10.285000
01da_writeswitch,thor,25.130591
01db_deleteswitch,thor,0.000000
01ea_sumsimple,thor,3.239136
01eb_sumsimplec,thor,6.498273
01ec_sumpadded,thor,40.969818
01ed_sumpaddedc,thor,15.773818
01ee_sumsimplecsv,thor,16.411227
01ef_sumsimplexml,thor,133.579182
01fa_buildindexorder,thor,36.717818
01fb_buildindexunorder,thor,45.409045
01fc_buildindexorder1,thor,24.336045
02aa_disksortlocal,thor,18.207955
02ab_disksortglobal,thor,25.923409
02ba_sortlocal-algo('heapsort'),thor,15.183273
02ba_sortlocal-algo('mergesort'),thor,15.165955
02ba_sortlocal-algo('parmergesort'),thor,15.170955
02ba_sortlocal-algo('parquicksort'),thor,15.169045
02ba_sortlocal-algo('quicksort'),thor,15.205727
02ba_sortlocal-algo('taskquicksort'),thor,15.131364
02ba_sortlocal-algo('tbbstableqsort'),thor,15.145955
02bb_sort,thor,24.257409
02bc_groupsort-groupsize(0x100000),thor,11.631773
02bc_groupsort-groupsize(1),thor,32.585864
02bc_groupsort-groupsize(1024),thor,7.552318
02bc_groupsort-groupsize(16),thor,10.615136
02bc_groupsort-groupsize(2),thor,23.286500
02bc_groupsort-groupsize(4),thor,16.295273
02bc_groupsort-groupsize(64),thor,8.157636
02bc_groupsort-groupsize(65536),thor,8.214273
02bc_groupsort-groupsize(8),thor,13.129955
02bd_dup1sortlocal,thor,16.300955
02be_dup2sortlocal,thor,15.268364
02bf_dup1sort,thor,23.894682
02bg_dup2sort,thor,21.268682
02bh_dup3sort,thor,54.311318
02bi_sortlocalorder-algo('parmergesort'),thor,5.828682
