testName,cluster,baseline
04ga_join16wk-hintprojectwork(16),thor,17.031400
04ga_join16wk-hintprojectwork(256),thor,122.043700
04ga_join16wk-hintprojectwork(4),thor,11.412700
04ga_join16wk-hintprojectwork(64),thor,37.903600
04gb_join16wku-hintprojectwork(0),thor,10.369000
04gb_join16wku-hintprojectwork(16),thor,15.067600
04gb_join16wku-hintprojectwork(256),thor,90.686400
04gb_join16wku-hintprojectwork(4),thor,11.546300
04gb_join16wku-hintprojectwork(64),thor,30.043200
04gc_join16wkp-hintprojectwork(0),thor,11.898400
04gc_join16wkp-hintprojectwork(16),thor,16.962500
04gc_join16wkp-hintprojectwork(256),thor,101.004300
04gc_join16wkp-hintprojectwork(4),thor,13.212100
04gc_join16wkp-hintprojectwork(64),thor,33.217500
05aa_summary64,thor,28.838900
05ab_summary1m,thor,36.103300
05ac_summaryall,thor,40.464444
05ba_summary64hash,thor,4.927700
05bb_summary1mhash,thor,11.127700
05bc_summaryallhash,thor,67.072800
05ca_summary64dist,thor,31.860000
05cb_summary64dist,thor,40.403300
05cc_summaryalldist,thor,42.159200
06aa_dedup64,thor,20.645700
06ab_dedup1m,thor,28.892700
06ac_dedupall,thor,46.356333
06ba_dedup64hash,thor,10.843500
06bb_dedup1mhash,thor,24.331600
06bc_dedupallhash,thor,70.994900
06ca_dedup64dist,thor,31.490500
06cb_dedup64dist,thor,39.614800
06cc_dedupalldist,thor,36.237100
07aa_keyedjoin123,thor,33.703200
07ba_keyedjoin321a,thor,98.400300
07ca_keyedjoinlimit_no,thor,451.498600
07cb_keyedjoinlimit_no2,thor,12.014900
07cc_keyedjoinlimit_no3,thor,28.642000
07da_keyedjoinlimit_hit,thor,11.938000
07dc_keyedjoinlimit_hit3,thor,22.655600
07ea_keyedjoinkeylimit_hit,thor,11.917700
07ec_keyedjoinkeylimit_hit3,thor,22.782500
07fa_keyedjoinonfaillimit_hit,thor,12.699200
07fc_keyedjoinfaillimit_hit3,thor,24.690400
08aa_keyedread123,thor,15.332000
