testName,cluster,baseline
01aa_createfixed32-timeactivities(false),roxie,4.258429
01aa_createfixed32-timeactivities(false),thor,4.542789
01aa_createfixed32-timeactivities(true),roxie,4.722429
01aa_createfixed32-timeactivities(true),thor,4.765895
01ab_createunorderedappend,roxie,14.835000
01ab_createunorderedappend,thor,9.572000
01ac_createorderappend,roxie,5.360000
01ac_createorderappend,thor,5.569737
01ad_createmanycount,roxie,63.263000
01ad_createmanycount,thor,45.861789
01ae_createswitchcount,roxie,42.976400
01ae_createswitchcount,thor,35.750158
01af_parallelmanycount,roxie,5.539000
01af_parallelmanycount,thor,5.956421
01ag_unorderedappend2,roxie,16.776857
01ag_unorderedappend2,thor,9.728316
01ah_unorderedappend4,roxie,15.013714
01ah_unorderedappend4,thor,9.322947
01ai_unorderedappend8,roxie,14.362143
01ai_unorderedappend8,thor,9.450579
01aj_unorderedappend12,roxie,14.544286
01aj_unorderedappend12,thor,9.471474
01ak_unorderedappend16,roxie,14.692857
01ak_unorderedappend16,thor,9.408842
01al_unorderedappend32,roxie,15.081286
01al_unorderedappend32,thor,9.407947
01ba_writefixed32,roxie,5.298429
01ba_writefixed32,thor,11.785474
01bb_writefixed32c,roxie,9.238000
01bb_writefixed32c,thor,47.045263
01bc_writepadded32,roxie,17.790714
01bc_writepadded32,thor,161.466158
01bd_writepadded32c,roxie,14.909714
01bd_writepadded32c,thor,67.228105
01be_writefixedcsv,roxie,33.400286
01be_writefixedcsv,thor,146.806737
01bf_writefixedxml,roxie,63.099286
01bf_writefixedxml,thor,254.378211
01bg_writevariable,roxie,7.370286
01bg_writevariable,thor,9.126737
01bh_writelarge,roxie,7.245143
01bh_writelarge,thor,13.407789
01bi_writevlarge,roxie,31.950857
01bi_writevlarge,thor,55.201368
01ca_countsimple-checkcrc(false)-hintheapflags(0x00)-timeactivities(false),roxie,7.555000
01ca_countsimple-checkcrc(false)-hintheapflags(0x00)-timeactivities(false),thor,4.364211
01ca_countsimple-checkcrc(false)-hintheapflags(0x00)-timeactivities(true),roxie,7.938857
01ca_countsimple-checkcrc(false)-hintheapflags(0x00)-timeactivities(true),thor,4.741000
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-optremoteread(true)-timeactivities(true),roxie,8.009857
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-optremoteread(true)-timeactivities(true),thor,12.274421
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-timeactivities(false),roxie,7.744429
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-timeactivities(false),thor,4.239263
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-timeactivities(true),roxie,8.008286
01ca_countsimple-checkcrc(false)-hintheapflags(0x80)-timeactivities(true),thor,4.540053
01ca_countsimple-checkcrc(true)-hintheapflags(0x00)-timeactivities(false),roxie,7.738571
01ca_countsimple-checkcrc(true)-hintheapflags(0x00)-timeactivities(false),thor,4.315474
